|V|,|E|,d_max,d_avg,|T|,T_avg,T_max,cc_avg,cc_global
36, 39, 17, 2, 0, 0, 0, 0, 0
69, 87, 17, 2, 0, 0, 0, 0, 0
100, 375, 26, 7, 0, 0, 0, 0, 0
122, 629, 41, 10, 0, 0, 0, 0, 0
108, 353, 36, 6, 0, 0, 0, 0, 0
48, 211, 29, 8, 0, 0, 0, 0, 0
78, 173, 23, 4, 0, 0, 0, 0, 0
66, 117, 26, 3, 0, 0, 0, 0, 0
40, 119, 21, 5, 0, 0, 0, 0, 0
767, 1202, 189, 3, 0, 0, 0, 0, 0
69, 95, 64, 2, 0, 0, 0, 0, 0
125, 634, 37, 10, 0, 0, 0, 0, 0
159, 204, 80, 2, 0, 0, 0, 0, 0
43, 51, 21, 2, 0, 0, 0, 0, 0
119, 538, 34, 9, 0, 0, 0, 0, 0
42, 45, 14, 2, 0, 0, 0, 0, 0
141, 832, 45, 11, 0, 0, 0, 0, 0
245, 2290, 57, 18, 0, 0, 0, 0, 0
94, 116, 72, 2, 0, 0, 0, 0, 0
47, 141, 18, 6, 0, 0, 0, 0, 0
81, 109, 16, 2, 0, 0, 0, 0, 0
371, 923, 62, 4, 0, 0, 0, 0, 0
31, 53, 13, 3, 0, 0, 0, 0, 0
25, 46, 12, 3, 0, 0, 0, 0, 0
90, 335, 29, 7, 0, 0, 0, 0, 0
31, 31, 16, 2, 0, 0, 0, 0, 0
34, 36, 13, 2, 0, 0, 0, 0, 0
103, 415, 30, 8, 0, 0, 0, 0, 0
93, 181, 30, 3, 0, 0, 0, 0, 0
50, 91, 15, 3, 0, 0, 0, 0, 0
70, 156, 17, 4, 0, 0, 0, 0, 0
68, 126, 26, 3, 0, 0, 0, 0, 0
129, 343, 50, 5, 0, 0, 0, 0, 0
39, 42, 20, 2, 0, 0, 0, 0, 0
22, 30, 8, 2, 0, 0, 0, 0, 0
78, 148, 32, 3, 0, 0, 0, 0, 0
41, 48, 7, 2, 0, 0, 0, 0, 0
65, 114, 18, 3, 0, 0, 0, 0, 0
49, 80, 13, 3, 0, 0, 0, 0, 0
175, 384, 30, 4, 0, 0, 0, 0, 0
39, 43, 19, 2, 0, 0, 0, 0, 0
31, 53, 13, 3, 0, 0, 0, 0, 0
59, 110, 27, 3, 0, 0, 0, 0, 0
70, 158, 17, 4, 0, 0, 0, 0, 0
151, 966, 39, 12, 0, 0, 0, 0, 0
113, 565, 29, 10, 0, 0, 0, 0, 0
186, 365, 32, 3, 0, 0, 0, 0, 0
36, 80, 14, 4, 0, 0, 0, 0, 0
35, 47, 13, 2, 0, 0, 0, 0, 0
81, 155, 40, 3, 0, 0, 0, 0, 0
83, 391, 24, 9, 0, 0, 0, 0, 0
108, 375, 35, 6, 0, 0, 0, 0, 0
65, 103, 35, 3, 0, 0, 0, 0, 0
103, 183, 16, 3, 0, 0, 0, 0, 0
88, 240, 35, 5, 0, 0, 0, 0, 0
49, 106, 18, 4, 0, 0, 0, 0, 0
93, 227, 31, 4, 0, 0, 0, 0, 0
65, 114, 18, 3, 0, 0, 0, 0, 0
74, 184, 22, 4, 0, 0, 0, 0, 0
27, 52, 12, 3, 0, 0, 0, 0, 0
36, 78, 15, 4, 0, 0, 0, 5, 0
103, 241, 33, 4, 0, 0, 0, 0, 0
